text,y_true,y_pred,conf,correct
টেকনিশিয়ান রা খাবার খাইয়ে আবার হজম করিয়ে দিবে আদনান ভায় এর,0,1,0.8796716,False
অন্য সব ইউনিভার্সিটিতে এর চেয়ে ভয়াবহ অবস্থা । আমি নিজে একজন ভিক্টিম । খোজ নিয়ে দেখেন,0,1,0.5334367,False
অমায়িক ব্যবহার এই রেস্টুরেন্টের স্টাফদের,1,0,0.9746429,False
রুটিওয়ালাকে অতিসত্বর বাংলাদেশ দলে তামিমের জায়গায় নেওয়া হোক । তাহলে আর ক্যাচ মিস হবেনা,0,1,0.9815275,False
আপনার পাশে যে একজন আসহায় মানুষ দাড়ানো আছে তাকে যদি একটা দিতেন তাহলে ভিডিও টা আরো ভাল লাগতো ,0,1,0.991467,False
অন্যায়ের বিরুদ্ধে ন্যায়ের পক্ষে একমাত্র যমুনা টেলিভিশনে কথা বললে অন্য চ্যানেল গুলো এভাবে প্রতিবাদ করলে দেশের মানুষ অনেক শান্তিতে থাকতে পারবে না পারবেন,1,0,0.83161294,False
কি আমার দামটাই কমাইছে গো ! ৬০ টাকার জিনিস ৫৫ । মাত্র ৫ টাকা ! ২০ অথবা ৩০ হইলে তাও একটা কথা ছিলো,1,0,0.78481597,False
পরলেই ভদ্র লোক হওয়া যায় না,0,1,0.56924605,False
পুরস্কার গুলা দিতে দেখলে আরো মজা ও ভালো লাগতো ভাই । পুরস্কার যেটাই হোক,0,1,0.9951356,False
এসব জালিমদের আল্লাহ বিচার করুক,1,0,0.91035557,False
না দা ভাগাড়ের মরা মুরগী বা পাঙ্গাস নয় আসল ভেটকী,1,0,0.99269944,False
"আমার এক বন্ধু আছে ওর নাম রাফি , সে প্রচুর ইয়াবা খায় তাই ওর নাম দিয়েছি বাবা রাফি ",0,1,0.9365686,False
আমি জখনি জাই পাঁচ ভাইতে নাখেলে কেমন জানি অপুরন্ম থেকেই যায়,1,0,0.9878035,False
খুব ভালো তবে চিরিয়াখানায় নিলেতো পচা খাবার খাওয়াইবো কারন ওইখানের সব অসাধু,0,1,0.7019923,False
পাপন তো দেখছি দোগলা ব্যক্তি । যেন দোমুখো সাপ । একমুখে রাম নাম আরেক মুখে রাজ্যের গালি । লোকটার প্রতি শ্রদ্ধা হারিয়ে ফেললাম ,0,1,0.8205548,False
