ID	Date	News Portal	Headline	Claim	Sentiment
BN/PRTD/241109/008	09-11-2024	Sangbad Pratidin	দৈর্ঘ্য মাত্র ৪ ইঞ্চি, উপত্যকায় জঙ্গি দমনে সেনার মারণাস্ত্র ‘কালো ভ্রমর’	Checkworthy	NEUTRAL
BN/BTMN/250103/009	03-01-2025	Bartaman	বিএসএফের মদতে অনুপ্রবেশ: মমতা, বাংলাকে অশান্ত করতে কেন্দ্রের ছক	Checkworthy	NEGATIVE
BN/PRTD/250111/008	11-01-2025	Sangbad Pratidin	বেঙ্গালুরুকে হারিয়ে অঘটন মহামেডানের, ডার্বির আগে বাড়তি অক্সিজেন পেল মোহনবাগান	Checkworthy	POSITIVE
BN/BTMN/250110/002	10-01-2025	Bartaman	কুম্ভমেলায় নিখোঁজ ব্যক্তিকে খুঁজতে এবার এআই প্রযুক্তি	Checkworthy	NEUTRAL
BN/PRTD/241203/077	03-12-2024	Sangbad Pratidin	কেন বাংলাদেশের অবস্থায় প্রতিবাদী হব না?	Not-Checkworthy	NEUTRAL
BN/PRTD/240922/043	22-09-2024	Sangbad Pratidin	দীর্ঘ প্রতীক্ষার অবসান, ইস্টবেঙ্গলের জার্সিতে অভিষেক আনোয়ারের	Checkworthy	NEUTRAL
BN/PRTD/241203/003	03-12-2024	Sangbad Pratidin	১২৩ বছরে উষ্ণতম এবারের নভেম্বর, মৌসম ভবন রিপোর্টে উদ্বেগ!	Checkworthy	NEGATIVE
BN/BTMN/241102/031	02-11-2024	Bartaman	আমেরিকা, অস্ট্রেলিয়া, ফ্রান্স সহ ৭টি দেশের নাগরিকদের সাইবার সুরক্ষার পাঠ দিল বাংলা	Checkworthy	POSITIVE
BN/BTMN/241121/014	21-11-2024	Bartaman	শুক্রবার দিল্লিতে কেন্দ্রীয় সাধারণ সম্পাদকদের বৈঠক ডাকল বিজেপি	Checkworthy	NEUTRAL
BN/PRTD/250111/065	11-01-2025	Sangbad Pratidin	রামলালার প্রাণপ্রতিষ্ঠার বর্ষপূর্তিতে মহাঅভিষেক, উৎসবমুখর অযোধ্যায় সাষ্টাঙ্গে প্রণাম যোগীর, রইল ছবি	Checkworthy	POSITIVE
