text,y_true,y_pred,conf,correct
আমিতো সেই ঝালপ্রিয়ো মানুষ,1,0,0.3679739,False
আর অভাবে কত আসলে সরকারের উচিৎ ভালো কোনো পদক্ষেপ নেয়া ,1,0,0.3901786,False
ভাইয়া মুন্সিগঞ্জ বিক্রমপুরে যাবেন । অনেক অনেক ঐতিহ্যবাহী খাবার ও রেস্তোরাঁ ও আছে । অবশ্যই নতুন কিছু পাবেন,1,0,0.44422138,False
ইলুমিনাতির 36 মাস্টার মেশন এর টুপি পরা ভাইয়া আর লিপু ভাইয়া সেই,1,0,0.4984626,False
"ইলিশ এর লেজ ভর্তা টাই মিছ করছেন , এইটা সব চেয়ে মজার , আর আস্ত ইলিশ কিনে ভাজি করে নিলে ৫০০ থেকে ৬০০ এর ভিতরেই পাইতেন লেজ ভর্তা , ইলিশ এর ডিম ভাজি সাথে পুরা মাছ টাই ",1,0,0.35853416,False
অমায়িক ব্যবহার এই রেস্টুরেন্টের স্টাফদের,1,0,0.5614259,False
পাওয়া উচিত । ভালো হয় যদি ওদের কাস্টোমার কেয়ারে একটু ফোন করে যেনে নেন,1,0,0.38339755,False
মেয়ো আর সসে চুপচুপে সো কল্ড জুসি বার্গারের ভিড়ে উনার বার্গার একেবারেই অন্যরকম,1,0,0.37016883,False
ভাই আমার ইচ্ছা ছিল ফটোগ্রাফি করা,1,0,0.62429714,False
লুডুস টি কোথায় পাওয়া জায় একটু বলবেন,1,0,0.40927446,False
"ভাই , এক জনের কত টাকা করে বাজেট লগতে পারে ",1,0,0.5225868,False
শেষ ভিডিওটা পুরো ভুরিভোজ এর পর মিষ্টি দই এর মত লাগলো । আপনাকে সহস্র প্রণাম আদনান ভাই । দুঃখ লাগে এই ভেবে যে কেন বাংলা ভাগ হলো । আবার আসবেন কলকাতায় কিন্তু সঙ্গে বৌদিকে নিয়েএবারের মতো চাপে পড়ে নয় কিন্তু,1,0,0.4329132,False
"ভাই ক্যেমরা মেন কে খাওয়ান না , উনার খাবার টা দেখাবেন ",1,0,0.390861,False
কৃতঙ্গতা স্বপ্ন ও পুলিশ জাহিদ ভাইয়ের প্রতি,1,0,0.48292276,False
আমার টুরিস্ট ভিসা রোগীর সাথে যেতে পারবো তাকে দেখাশুনা করার জন্য,1,0,0.6011805,False
খাবার সামনে নিয়ে এত কথা বলা ! সত্যিই সাহসের ব্যাপার,1,0,0.41924357,False
"ইদানিং অবশ্য জিম করি । কিন্তু জিম করছি স্বাস্থ্য কমানোর জন্য না , নিজেকে আরও ফিট করে তুলতে ",1,0,0.38181025,False
অন্যায়ের বিরুদ্ধে ন্যায়ের পক্ষে একমাত্র যমুনা টেলিভিশনে কথা বললে অন্য চ্যানেল গুলো এভাবে প্রতিবাদ করলে দেশের মানুষ অনেক শান্তিতে থাকতে পারবে না পারবেন,1,0,0.44947228,False
"নোয়াখালী মাইজদী হাসপাতাল রোডের , হাসপাতাল গুলাতে একবার গেলে ভালো হতো ",1,0,0.3957765,False
"সত্যিই ভুটানের মনোরম পরিবেশে যে কেউই আনন্দিত হবে । যাঁদের গায়ে রোগের প্রকোপ । ; অর্থাৎ । , ব্লাড প্রেসার , হই প্রেসার , সুগার । প্রভৃতি ভালো হয়ে যেতে পারে । , যদি না কেউ ভূটান মিস না করে ",1,0,0.37819535,False
অনেক অপেক্ষা করতে হয় গুলুমুলু ভাবী আর ভাইয়ার ভিডিও দেখার জন্য,1,0,0.4347734,False
আপসহীন রিপটিং এভানেই আপসহীন ভাবে খবর প্রচার করে জান.,1,0,0.41409266,False
আমাদের বাংলাদেশএর খাবার ভিশ্ব সেরা,1,0,0.5691824,False
আমরা 28 জন গিয়েছিলাম । ব্যাচেলর দের পার হেড 6500 টাকা করে পড়েছিল । ফ্যামিলি হলে 9000 টাকা পার হেড,1,0,0.47178176,False
"সিঙ্গারা এক টাকা হওয়া দরকার । কিন্তু আমাদের ঢাকাতে সবাই বড়লক্স তাই দোকানদার গুলা দাম বাড়ায় ৫ টাকা করছে , কিন্তু সেই আগের মতন এ সব টেস্ট ",1,0,0.4368911,False
ছাত্রলীগকে নিষিদ্ধ করলে দেশে উন্নতি হবে এবং দেশের জনগণ সুখে ও শান্তিতে থাকতে পারবে,1,0,0.39777038,False
একমাত্র যমুনা টেলিভিশন ' ই দেশ অগ্রযাত্রায় মজবুত ভূমিকা পালন করে যাচ্ছে ,1,0,0.4803443,False
কি আমার দামটাই কমাইছে গো ! ৬০ টাকার জিনিস ৫৫ । মাত্র ৫ টাকা ! ২০ অথবা ৩০ হইলে তাও একটা কথা ছিলো,1,0,0.40240428,False
ভাইয়া রাজশাহী বাটার মোড়ের জিলাপির রিভিউ করতে ভুলবেন না,1,0,0.46400207,False
নান্নার বিরিয়ানী এর একটা রিভিউ দিয়েন,1,0,0.43024397,False
পুরস্কার গুলা দিতে দেখলে আরো মজা ও ভালো লাগতো ভাই । পুরস্কার যেটাই হোক,0,1,0.47540873,False
এসব জালিমদের আল্লাহ বিচার করুক,1,0,0.54662085,False
না দা ভাগাড়ের মরা মুরগী বা পাঙ্গাস নয় আসল ভেটকী,1,0,0.4527047,False
তেহেরীটা পেলে মিস করবেন না,1,0,0.43097174,False
ভাই যদি গেন্জি বেশি থাকে তাহলে আমাকে একটা গিফট দিয়েন খালিদ ভাই,1,0,0.41693774,False
যানি না এই কমেন্ট পড়বেন কিনা । তারপর ও লিখছি,1,0,0.4044044,False
আমি জখনি জাই পাঁচ ভাইতে নাখেলে কেমন জানি অপুরন্ম থেকেই যায়,1,0,0.4805538,False
আপনি অনেক খাবার খেয়ে বলেন না যে খাবার টা খেতে কেমন । খাবারটা আপনি রিকমেন্ড করেন কিনা । প্রতিটা খাবার যদি আরেকটু ভালোভাবে ব্যাখ্যা করতেন তাহলে আরো ভালো লাগতো,1,0,0.3995154,False
"১ অথবা এনায়েতের ফুসকা একবার খেয়ে দেখেন । ঠিকানাঃবর্ণমালা আদর্শ স্কুল এন্ড কলেজ রোড ধনিয়া , যাত্রাবাড়ী ঢাকা ",1,0,0.4740069,False
ভাই আপনি মানিকগঞ্জের চটপটি খেতে পারেন ,1,0,0.38280115,False
"ফুড ভ্লগিং শুরু করার পর কি আপনার ওজন বেড়েছে ? বালির ভিডিও 12 পর্ব পর্যন্ত দেখেছি , বাকিগুলো আপলোড করবেন না ? ভ্লগগুলো দারুন ",1,0,0.41547978,False
মানালি ও কল্লু আরো ভালো সেখানে স্নোফল হয় ডিসেম্বার ও জানোয়ারিতে বেচে থাকলে 2020 এর জানোয়ারি তে যাচ্ছি তবে দোয়া ও ভালবাসা রইলো আপনার জন্য আপনার এ টু জেড বলা ঠিক আছে সবাই আসলে এবাবে সব বলতে পারেনা,1,0,0.36882237,False
"শিক্ষা প্রতিষ্ঠানে সব রকমের রাজনীতি ❎ বন্ধকরা হোক । , শিক্ষা প্রতিষ্ঠানে রাজনীতির নামে সন্ত্রাস করার জায়গা নাকি ",1,0,0.49910858,False
"ভিডিওটা দেখে নস্টালজিক হয়ে গেলাম দাদা , কোথায় হারিয়ে গেল সোনালী সেই সব দিনগুলি , সবাই আমরা চাকরি , ব্যবসা করে সব সুখ স্বচ্ছন্দ কিনতে পারছি , কিন্তু ছাত্রবয়েসের সেই দিনগুলি কোনো মূল্যেই আর ফেরত পাবো না ",1,0,0.3429416,False
