text,y_true,y_pred,conf,correct
পুরস্কার গুলা দিতে দেখলে আরো মজা ও ভালো লাগতো ভাই । পুরস্কার যেটাই হোক,0,1,0.47540873,False
পাপন তো দেখছি দোগলা ব্যক্তি । যেন দোমুখো সাপ । একমুখে রাম নাম আরেক মুখে রাজ্যের গালি । লোকটার প্রতি শ্রদ্ধা হারিয়ে ফেললাম ,0,1,0.35503554,False
মাটন অথবা চিকেন খেলেন সেটা কি হালাল ছিল,0,1,0.37107247,False
এমন গাজাখুরি খবর সত্যিই হাস্যকর,0,1,0.74613285,False
হ্যা আগে তুই গরুর ভুনা মাংস খেয়ে দেখ তারপর । খুব মজা খেয়ে দেখ গরুর ভুনা,0,1,0.3882475,False
"ভাই অনেক দিন ধরেই আপনার ভিডিও গুলা দেখি খুব ভাল্লাগে । বাট আজ যখন 1 । 30 তে বললেন আপনি আলু পছন্দ করেন না তখন নিজেকে আর ধরে রাখতে পারিনি , আনসাবস্ক্রাইব করে দিলাম । বিদায় ",0,1,0.33806434,False
পিবিআইকে ভালো ভাবতাম । ভেবেছিলাম ওরা স্পেশাল । রসুনের পাছা এক জায়গাতেই গিয়ে মিলিত হয়েছে,0,1,0.4013507,False
এই রকম বিস্বাদ রান্না জীবনে প্রথম খাওয়া হলো,0,1,0.409494,False
আমার ও ভাই তোমার মোতো ঽয়ে ছে ,0,1,0.3627345,False
পাপন তো দেখছি দোগলা ব্যক্তি । যেন দোমুখো সাপ । একমুখে রাম নাম আরেক মুখে রাজ্যের গালি । লোকটার প্রতি শ্রদ্ধা হারিয়ে ফেললাম,0,1,0.35503557,False
লাল পিঁপড়ের কামড় তো অনেক ভালোই ছিল । এডিস মশা না থাকলেই হল ,0,1,0.3938205,False
কাকরা মোহাসয় কেন বলেন ? ভাল লাগেনা ,0,1,0.40833727,False
ভাই আমি অবাক হলাম । কারন বাংলাদেশে এই প্রথম দেখলাম তাই । মােলেশিয়ায় এরকম অনেক আছে । এদেরকে বলে । তমবয় । এরা হলোমেয়ে এরা ইংজেকসনের মাথ্যমে এদের এস্তল শুকিয়ে ফেলে,0,1,0.36862892,False
"এটা ভাল , এর চেয়ে অনেক ভাল জায়গা টা ছেরে দেয়াটা কি উচিৎ ",0,1,0.4556386,False
ভিডিউ টি দেখে আহামরি কিছু নেই একদম ফালতু ভিডিও,0,1,0.36022115,False
"ভাই আপনার ক্যামেরা মেনকে দিলেন্না একাই সব সাবার করলেন , হা হা হা ",0,1,0.384706,False
"আপনি সামনে থেকে ডালের ওপরে নারকেল চিনতে পারছেন না , ? চাটনি কে বলছেন মিষ্টি , ভিডিওটা খুব একটা ভালো লাগলো না ",0,1,0.34592402,False
ভিডিও জুড়ে বাজে একটা শব্দ কানে লাগছে খুব,0,1,0.38372487,False
"ফাহিম ভাই , ফুড ভ্লগিং এর পাশাপাশি শরীরের যত্ন নিয়েন । শুরু থেকেই আপনার ভিডিও দেখি । অনেক মুটিয়ে গেছেন ",0,1,0.40770078,False
"আদনান ভাইয়া আপনি আপনার চুল কালার করেন না কেন , নওশিন আপু কত সুন্দর , আপুর সাথে তো আপনাকে এখন ভাবাই যায় না ",0,1,0.34809142,False
"হাজী সাহেব , হালাল থেকে হারাম দেখে খেলে ভালো হয় । আর এসব যায়গায় মুসলিমদের জন্য হালাল খাবার কোথায় পাওয়া যায় সেগুলো রিভিউ দিলে ভালো হয় ",0,1,0.3846578,False
